Year,Coal,Hydroelectric,Municipal Solid Waste Combustion,Natural Gas,Nuclear,Solar,Wind,Total
1980,670.0,21177.9,0.0,179.0,0.0,0.0,0.0,22026.9
1981,670.0,21177.9,0.0,313.0,0.0,0.0,0.0,22160.9
1982,670.0,21177.9,0.0,313.0,0.0,0.0,0.0,22160.9
1983,670.0,21177.9,0.0,313.0,0.0,0.0,0.0,22160.9
1984,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1985,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1986,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1987,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1988,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1989,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1990,670.0,21289.9,0.0,593.0,1150.0,0.0,0.0,23702.9
1991,670.0,21289.9,22.0,713.0,1150.0,0.0,0.0,23844.9
1992,670.0,21289.9,22.0,713.0,1150.0,0.0,0.0,23844.9
1993,670.0,21289.9,22.0,997.0,1150.0,0.0,0.0,24128.9
1994,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
1995,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
1996,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
1997,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
1998,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
1999,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
2000,670.0,21372.7,22.0,1267.0,1150.0,0.0,0.0,24481.7
2001,670.0,21372.7,22.0,1267.0,1150.0,0.0,177.0,24658.7
2002,670.0,21372.7,22.0,1537.0,1150.0,0.0,276.0,25027.7
2003,670.0,21372.7,22.0,2014.0,1150.0,0.0,276.0,25504.7
2004,670.0,21372.7,22.0,2277.0,1150.0,0.0,276.0,25767.7
2005,670.0,21372.7,22.0,2277.0,1150.0,0.0,433.0,25924.7
2006,670.0,21372.7,22.0,2277.0,1150.0,0.0,906.0,26397.7
2007,670.0,21372.7,22.0,2277.0,1150.0,0.0,1322.0,26813.7
2008,670.0,21372.7,22.0,3151.0,1150.0,0.0,1416.0,27781.7
2009,670.0,21372.7,22.0,3151.0,1150.0,0.0,1915.0,28280.7
2010,670.0,21372.7,22.0,3371.0,1150.0,0.0,2161.8,28747.5
2011,670.0,22396.0,22.0,3371.0,1150.0,0.0,2363.0,29972.0
2012,670.0,22381.2,22.0,3371.0,1150.0,0.0,2815.0,30409.2
2013,670.0,22381.2,22.0,3371.0,1150.0,0.0,2815.0,30409.2
2014,670.0,22367.9,22.0,3371.0,1150.0,0.0,3082.0,30662.9
2015,670.0,22367.9,22.0,3371.0,1150.0,0.0,3082.0,30662.9
2016,670.0,22367.9,22.0,3371.0,1150.0,0.0,3082.0,30662.9
2017,670.0,22367.9,22.0,3371.0,1150.0,0.0,3082.0,30662.9
2018,670.0,22367.9,22.0,3371.0,1150.0,28.0,3082.0,30690.9
2019,670.0,22367.9,22.0,3371.0,1150.0,28.0,3082.0,30690.9
2020,670.0,22367.9,22.0,3371.0,1150.0,32.0,3218.0,30830.9
2021,670.0,22367.9,22.0,3371.0,1150.0,32.0,3218.0,30830.9
2022,670.0,22367.9,22.0,3371.0,1150.0,246.1,3218.0,31045.0
2023,670.0,22367.9,22.0,3371.0,1150.0,246.1,3218.0,31045.0
2024,670.0,22367.9,22.0,3371.0,1150.0,246.1,3218.0,31045.0
2025,0.0,22367.9,22.0,3371.0,1150.0,246.1,3218.0,30375.0
