Date,Number of BEVs
2018-01-07,159904
2018-01-14,161295
2018-01-21,162686
2018-01-28,164077
2018-02-04,165468
2018-02-11,166859
2018-02-18,168250
2018-02-25,169641
2018-03-04,171032
2018-03-11,172423
2018-03-18,173814
2018-03-25,175205
2018-04-01,176596
2018-04-08,177988
2018-04-15,179379
2018-04-22,180770
2018-04-29,182161
2018-05-06,183552
2018-05-13,184943
2018-05-20,186334
2018-05-27,187725
2018-06-03,189116
2018-06-10,190507
2018-06-17,191898
2018-06-24,193289
2018-07-01,194680
2018-07-08,196071
2018-07-15,197462
2018-07-22,198853
2018-07-29,200245
2018-08-05,201636
2018-08-12,203027
2018-08-19,204418
2018-08-26,205809
2018-09-02,207200
2018-09-09,208591
2018-09-16,209982
2018-09-23,211373
2018-09-30,212764
2018-10-07,214155
2018-10-14,215546
2018-10-21,216937
2018-10-28,218328
2018-11-04,219719
2018-11-11,221110
2018-11-18,222502
2018-11-25,223893
2018-12-02,225284
2018-12-09,226675
2018-12-16,228066
2018-12-23,229457
2018-12-30,230848
2019-01-06,232239
2019-01-13,233701
2019-01-20,235162
2019-01-27,236624
2019-02-03,238085
2019-02-10,239547
2019-02-17,241008
2019-02-24,242470
2019-03-03,243931
2019-03-10,245393
2019-03-17,246854
2019-03-24,248316
2019-03-31,249777
2019-04-07,251239
2019-04-14,252700
2019-04-21,254162
2019-04-28,255623
2019-05-05,257085
2019-05-12,258546
2019-05-19,260008
2019-05-26,261469
2019-06-02,262931
2019-06-09,264393
2019-06-16,265854
2019-06-23,267316
2019-06-30,268777
2019-07-07,270239
2019-07-14,271700
2019-07-21,273162
2019-07-28,274623
2019-08-04,276085
2019-08-11,277546
2019-08-18,279008
2019-08-25,280469
2019-09-01,281931
2019-09-08,283392
2019-09-15,284854
2019-09-22,286315
2019-09-29,287777
2019-10-06,289238
2019-10-13,290700
2019-10-20,292161
2019-10-27,293623
2019-11-03,295085
2019-11-10,296546
2019-11-17,298008
2019-11-24,299469
2019-12-01,300931
2019-12-08,302392
2019-12-15,303854
2019-12-22,305315
2019-12-29,306777
2020-01-05,308238
2020-01-12,309446
2020-01-19,310611
2020-01-26,311776
2020-02-02,312941
2020-02-09,314106
2020-02-16,315271
2020-02-23,316436
2020-03-01,317601
2020-03-08,318766
2020-03-15,319931
2020-03-22,321096
2020-03-29,322262
2020-04-05,323427
2020-04-12,324592
2020-04-19,325757
2020-04-26,326922
2020-05-03,328087
2020-05-10,329252
2020-05-17,330417
2020-05-24,331582
2020-05-31,332747
2020-06-07,333912
2020-06-14,335077
2020-06-21,336242
2020-06-28,337408
2020-07-05,338573
2020-07-12,339738
2020-07-19,340903
2020-07-26,342068
2020-08-02,343233
2020-08-09,344398
2020-08-16,345563
2020-08-23,346728
2020-08-30,347893
2020-09-06,349058
2020-09-13,350223
2020-09-20,351388
2020-09-27,352554
2020-10-04,353719
2020-10-11,354884
2020-10-18,356049
2020-10-25,357214
2020-11-01,358379
2020-11-08,359544
2020-11-15,360709
2020-11-22,361874
2020-11-29,363039
2020-12-06,364204
2020-12-13,365369
2020-12-20,366535
2020-12-27,367700
2021-01-03,368865
2021-01-10,371042
2021-01-17,373977
2021-01-24,376913
2021-01-31,379849
2021-02-07,382785
2021-02-14,385721
2021-02-21,388656
2021-02-28,391592
2021-03-07,394528
2021-03-14,397464
2021-03-21,400400
2021-03-28,403335
2021-04-04,406271
2021-04-11,409207
2021-04-18,412143
2021-04-25,415079
2021-05-02,418014
2021-05-09,420950
2021-05-16,423886
2021-05-23,426822
2021-05-30,429758
2021-06-06,432693
2021-06-13,435629
2021-06-20,438565
2021-06-27,441501
2021-07-04,444437
